2025-05-12 09:00:01 | user_a | login | 200 | 150
2025-05-12 09:00:05 | user_b | view_product | 200 | 80
2025-05-12 09:00:10 | user_a | add_to_cart | 200 | 210
2025-05-12 09:00:15 | user_c | login | 200 | 180
2025-05-12 09:00:20 | user_b | checkout | 500 | 1200
2025-05-12 09:00:25 | user_a | view_product | 200 | 95
2025-05-12 09:00:30 | user_c | view_cart | 200 | 110
2025-05-12 09:00:35 | user_d | login | 200 | 160
2025-05-12 09:00:40 | user_a | checkout | 200 | 750
2025-05-12 09:00:45 | user_c | checkout | 404 | 600
2025-05-12 09:00:50 | user_d | view_product | 200 | 70
2025-05-12 09:00:55 | user_b | login | 200 | 140
2025-05-12 09:01:00 | user_d | add_to_cart | 200 | 250
2025-05-12 09:01:05 | user_a | logout | 200 | 50
2025-05-12 09:01:10 | user_c | login | 200 | 170
2025-05-12 09:01:15 | user_e | login | 200 | 190
2025-05-12 09:01:20 | user_c | view_product | 200 | 85
2025-05-12 09:01:25 | user_e | view_cart | 200 | 105
2025-05-12 09:01:30 | user_c | checkout | 503 | 900
2025-05-12 09:01:35 | user_e | checkout | 200 | 850
